PLAYER NAME,Ball Speed,Driving Distance,Approaches from > 100 yards,Eagles (Holes per),Putts Per Round,Birdie Average,Proximity to Hole,FedexCup Regular Season Points,Average Distance of Putts made,GIR Percentage from Fairway,Official Money,Bogey Average,Par 3 Scoring Average,Club Head Speed,Par 4 Scoring Average,Par 5 Scoring Average,Driving Accuracy Percentage,Scoring Average,Total Birdies,Total Eagles,Spin Rate,Top 10 Finishes,Sand Save Percentage,Scrambling,SG: Total,Smash Factor,Country,College
Kyle Reifers (2015),166.2,288,"34' 5""",331.2,29.16,3.52,"35' 9""",626,"73' 11""",77.19,"1,179,228",2.62,3.03,111.94,4.03,4.68,61.59,70.854,324,5,2614.2,2,55.63,61.36,0.136,1.484,USA,"Wake Forest University  (2006, Religion)"
Kyle Reifers (2016),166.08,287.3,"34' 2""",166.5,29.34,3.5,"35' 6""",821,"75' 5""",79.45,"1,539,578",2.59,3.08,110.82,4.04,4.61,65.29,70.965,389,12,2452.6,5,56.5,55.95,0.177,1.498,USA,"Wake Forest University  (2006, Religion)"
Kyle Reifers (2017),163.67,286.1,"34' 6""",144,29.73,2.9,"37' 2""",241,"71' 2""",76,"454,570",2.73,3.13,109.07,4.04,4.75,65.15,71.587,255,11,2289.1,,48.73,58.44,-0.418,1.5,USA,"Wake Forest University  (2006, Religion)"
Kyle Stanley (2015),,,,,,,,200,,,"245,504",,,,,,,,,,,,,,,,USA,Clemson University
Kyle Stanley (2016),165.68,288.1,"31' 3""",200.3,29.47,3.45,"34' 2""",497,"71' 7""",78.4,"580,734",2.7,3.07,111.6,4.04,4.71,64.54,70.986,307,8,2380.7,,41.73,55.13,0.176,1.484,USA,Clemson University
Kyle Stanley (2017),168.2,296.5,"30' 2""",138.5,29.63,3.8,"33' 4""",1204,"71' 9""",81.71,"3,402,106",2.56,3.06,112.69,4,4.59,68.55,69.989,380,13,2530.6,5,47.73,58.35,0.951,1.492,USA,Clemson University
Kyle Stanley (2018),168.09,295.7,"31' 1""",316.8,29.89,3.82,"34' 7""",1198,"76' 11""",80.66,"3,916,001",2.58,3.08,112.65,4,4.64,71.29,70.404,336,5,2882.3,5,46.2,54.8,0.686,1.492,USA,Clemson University
Kyle Stanley (2019),165.96,288.9,"31' 5""",124.4,29.43,3.41,"34' 7""",460,"66' 5""",79.32,"1,117,604",2.5,3.09,110.78,4.04,4.59,69.08,71.094,259,11,2792.3,1,49.61,58.65,-0.013,1.498,USA,Clemson University
Kyle Thompson (2018),158.42,285.3,"30' 10""",,29.61,3.26,"34' 10""",10,"64' 4""",74.32,"24,878",3.41,3.16,106.27,4.08,4.79,62.99,72.673,150,0,2286.4,,51.28,54.02,-1.262,1.491,USA,"University of South Carolina  (2001, Marketing/Management)"
Kyoung-Hoon Lee (2019),167.88,286.2,"34' 8""",302.4,29.39,3.73,"36' 10""",453,"74' 1""",79.74,"1,061,457",2.71,3.07,112.69,4.02,4.7,66.01,71.307,313,5,2541.3,2,51.77,57.67,-0.107,1.489,KOR,Korea National Sport University  (2014)
